Gene_ID,C11,C15,C19,C23,N11,N15,N19,N23
NM_007167,596,541,599,528,364,292,280,347
NM_005095,2594,2417,2583,2347,1804,1177,1187,1610
NM_024852,352,428,472,369,259,280,193,267
NM_001286365,1111,3119,2488,2665,4386,4656,3021,4350
NM_001286366,1111,3119,2488,2665,4386,4656,3021,4350
NM_001162530,393,792,697,482,623,649,390,364
NM_012199,1201,1990,1669,1842,1671,1646,1231,1540
NM_145047,228,333,273,330,248,298,203,267
NM_177422,352,428,472,369,259,280,193,267
NM_018067,1111,3119,2488,2665,4386,4656,3021,4350
NM_206837,90,132,119,122,88,125,97,103
NM_001242910,42,166,145,292,244,115,265,111
NM_001242909,42,166,145,292,244,115,265,111
NM_001242908,42,166,145,292,244,115,265,111
NM_000831,78,188,129,59,290,145,217,606
NM_001038633,42,166,145,292,244,115,265,111
NM_005540,512,995,713,889,801,715,629,803
NM_001297434,493,947,657,829,726,660,570,688
NM_012090,4517,7204,6367,6659,5565,3705,4915,5497
NM_001304746,111,133,199,199,143,94,89,167
NM_017821,112,140,207,203,157,106,95,177
NM_001142587,838,1436,1655,1856,1779,1328,1295,2037
NM_012421,592,498,666,714,431,320,331,411
NM_001142590,818,1352,1580,1789,1657,1219,1196,1926
NM_001142589,838,1436,1655,1856,1779,1328,1295,2037
NM_001308115,802,1328,1538,1745,1620,1181,1155,1882
NM_001142588,838,1436,1655,1856,1779,1328,1295,2037
NM_014747,135,198,224,261,537,337,379,395
NM_001308114,738,1267,1459,1643,1550,1133,1099,1824
NM_014223,838,1436,1655,1856,1779,1328,1295,2037
NM_012236,2793,4254,4132,3033,3313,2847,2317,2742
NM_024503,1864,6231,2496,1643,1685,949,1347,897
NM_001172221,2694,4143,3971,2906,3217,2778,2245,2688
NM_001127714,1864,6231,2496,1643,1685,949,1347,897
NM_001172220,2793,4254,4132,3033,3313,2847,2317,2742
NM_001172218,2793,4254,4132,3033,3313,2847,2317,2742
NM_001172219,2793,4254,4132,3033,3313,2847,2317,2742
NM_001172222,2673,4097,3920,2878,3209,2754,2209,2653
NR_037868,2095,3057,2989,2151,2467,1989,1589,1870
NM_001031694,2690,4104,3933,2887,3213,2759,2221,2661
NM_001080850,138,199,189,165,122,76,80,95
NM_001198852,1801,2171,2192,2180,1677,1537,1424,1449
NM_001198851,1799,2156,2178,2172,1662,1521,1414,1439
NM_001198850,1823,2194,2215,2197,1706,1556,1429,1469
NM_001287511,895,941,1097,986,572,650,610,533
NR_104171,80,156,155,138,92,111,122,124
NM_014947,1801,2171,2192,2180,1678,1537,1424,1450
NM_001270463,919,1213,1370,1506,1245,846,773,1174
NM_001270462,919,1213,1370,1506,1245,846,773,1174
NM_001270466,919,1213,1370,1506,1245,846,773,1174
NM_001270465,919,1213,1370,1506,1245,846,773,1174
